index,size_id,width,height,label
0,20,20,,"20'" Long Edge"
1,24,24,,"24'" Long Edge"
2,30,30,,"30'" Long Edge"
3,36,36,,"36'" Long Edge"
4,40,40,,"40'" Long Edge"
5,48,48,,"48'" Long Edge"
6,56,56,,"56'" Long Edge"
7,1522,15,22,"15'" x 22'"(38 cm x 56 cm)"
8,1618,16,18,"16'" x 18'"(41 cm x 46 cm)"
9,1620,16,20,"16'" x 20'"(41 cm x 51 cm)"
10,1623,16,23,"16'" x 23'"(41 cm x 58 cm)"
11,1624,16,24,"16'" x 24'"(41 cm x 61 cm)"
12,1632,16,32,"16'" x 32'"(41 cm x 81 cm)"
13,1826,18,26,"18'" x 26'"(46 cm x 66 cm)"
14,1926,19,26,"19'" x 26'"(48 cm x 66 cm)"
15,1929,19,29,"19'" x 29'"(48 cm x 74 cm)"
16,2016,20,16,"20'" x 16'"(51 cm x 41 cm)"
17,2020,20,20,"20'" x 20'"(51 cm x 51 cm)"
18,2024,20,24,"20'" x 24'"(51 cm x 61 cm)"
19,2029,20,29,"20'" x 29'"(51 cm x 74 cm)"
20,2030,20,30,"20'" x 30'"(51 cm x 76 cm)"
21,2040,20,40,"20'" x 40'"(51 cm x 102 cm)"
22,2126,21,26,"21'" x 26'"(53 cm x 66 cm)"
23,2129,21,29,"21'" x 29'"(53 cm x 74 cm)"
24,2130,21,30,"21'" x 30'"(53 cm x 76 cm)"
25,2136,21,36,"21'" x 36'"(53 cm x 91 cm)"
26,2219,22,19,"22'" x 19'"(56 cm x 48 cm)"
27,2225,22,25,"22'" x 25'"(56 cm x 64 cm)"
28,2226,22,26,"22'" x 26'"(56 cm x 66 cm)"
29,2227,22,27,"22'" x 27'"(56 cm x 69 cm)"
30,2230,22,30,"22'" x 30'"(56 cm x 76 cm)"
31,2244,22,44,"22'" x 44'"(56 cm x 112 cm)"
32,2332,23,32,"23'" x 32'"(58 cm x 81 cm)"
33,2416,24,16,"24'" x 16'"(61 cm x 41 cm)"
34,2418,24,18,"24'" x 18'"(61 cm x 46 cm)"
35,2420,24,20,"24'" x 20'"(61 cm x 51 cm)"
36,2424,24,24,"24'" x 24'"(61 cm x 61 cm)"
37,2428,24,28,"24'" x 28'"(61 cm x 71 cm)"
38,2429,24,29,"24'" x 29'"(61 cm x 74 cm)"
39,2430,24,30,"24'" x 30'"(61 cm x 76 cm)"
40,2432,24,32,"24'" x 32'"(61 cm x 81 cm)"
41,2436,24,36,"24'" x 36'"(61 cm x 91 cm)"
42,2440,24,40,"24'" x 40'"(61 cm x 102 cm)"
43,2448,24,48,"24'" x 48'"(61 cm x 122 cm)"
44,2519,25,19,"25'" x 19'"(64 cm x 48 cm)"
45,2520,25,20,"25'" x 20'"(64 cm x 51 cm)"
46,2522,25,22,"25'" x 22'"(64 cm x 56 cm)"
47,2529,25,29,"25'" x 29'"(64 cm x 74 cm)"
48,2530,25,30,"25'" x 30'"(64 cm x 76 cm)"
49,2531,25,31,"25'" x 31'"(64 cm x 79 cm)"
50,2532,25,32,"25'" x 32'"(64 cm x 81 cm)"
51,2619,26,19,"26'" x 19'"(66 cm x 48 cm)"
52,2620,26,20,"26'" x 20'"(66 cm x 51 cm)"
53,2621,26,21,"26'" x 21'"(66 cm x 53 cm)"
54,2632,26,32,"26'" x 32'"(66 cm x 81 cm)"
55,2636,26,36,"26'" x 36'"(66 cm x 91 cm)"
56,2637,26,37,"26'" x 37'"(66 cm x 94 cm)"
57,2639,26,39,"26'" x 39'"(66 cm x 99 cm)"
58,2640,26,40,"26'" x 40'"(66 cm x 102 cm)"
59,2726,27,26,"27'" x 26'"(69 cm x 66 cm)"
60,2733,27,33,"27'" x 33'"(69 cm x 84 cm)"
61,2735,27,35,"27'" x 35'"(69 cm x 89 cm)"
62,2823,28,23,"28'" x 23'"(71 cm x 58 cm)"
63,2922,29,22,"29'" x 22'"(74 cm x 56 cm)"
64,2923,29,23,"29'" x 23'"(74 cm x 58 cm)"
65,2924,29,24,"29'" x 24'"(74 cm x 61 cm)"
66,2925,29,25,"29'" x 25'"(74 cm x 64 cm)"
67,2936,29,36,"29'" x 36'"(74 cm x 91 cm)"
68,2937,29,37,"29'" x 37'"(74 cm x 94 cm)"
69,2938,29,38,"29'" x 38'"(74 cm x 97 cm)"
70,2939,29,39,"29'" x 39'"(74 cm x 99 cm)"
71,3020,30,20,"30'" x 20'"(76 cm x 51 cm)"
72,3024,30,24,"30'" x 24'"(76 cm x 61 cm)"
73,3030,30,30,"30'" x 30'"(76 cm x 76 cm)"
74,3034,30,34,"30'" x 34'"(76 cm x 86 cm)"
75,3037,30,37,"30'" x 37'"(76 cm x 94 cm)"
76,3040,30,40,"30'" x 40'"(76 cm x 102 cm)"
