index,account_id,district_id,frequency,parseddate,year,month,day
0,A00000576,55,Monthly Issuance,2013-01-01,2013,1,1
1,A00003818,74,Monthly Issuance,2013-01-01,2013,1,1
2,A00000704,55,Monthly Issuance,2013-01-01,2013,1,1
3,A00002378,16,Monthly Issuance,2013-01-01,2013,1,1
4,A00002632,24,Monthly Issuance,2013-01-02,2013,1,2
5,A00001972,77,Monthly Issuance,2013-01-02,2013,1,2
6,A00001539,1,Issuance After Transaction,2013-01-03,2013,1,3
7,A00000793,47,Monthly Issuance,2013-01-03,2013,1,3
8,A00002484,74,Monthly Issuance,2013-01-03,2013,1,3
9,A00001695,76,Monthly Issuance,2013-01-03,2013,1,3
10,A00001726,48,Monthly Issuance,2013-01-03,2013,1,3
11,A00002881,70,Monthly Issuance,2013-01-04,2013,1,4
12,A00002357,19,Monthly Issuance,2013-01-04,2013,1,4
13,A00002177,62,Monthly Issuance,2013-01-04,2013,1,4
14,A00000485,6,Issuance After Transaction,2013-01-04,2013,1,4
15,A00000652,21,Monthly Issuance,2013-01-05,2013,1,5
16,A00009635,70,Monthly Issuance,2013-01-05,2013,1,5
17,A00001844,44,Monthly Issuance,2013-01-06,2013,1,6
18,A00001926,37,Monthly Issuance,2013-01-06,2013,1,6
19,A00002393,10,Monthly Issuance,2013-01-07,2013,1,7
20,A00003510,41,Monthly Issuance,2013-01-07,2013,1,7
21,A00001276,36,Monthly Issuance,2013-01-07,2013,1,7
22,A00001637,1,Monthly Issuance,2013-01-08,2013,1,8
23,A00003871,26,Monthly Issuance,2013-01-08,2013,1,8
24,A00000192,55,Monthly Issuance,2013-01-08,2013,1,8
25,A00000764,1,Monthly Issuance,2013-01-08,2013,1,8
26,A00002087,7,Weekly Issuance,2013-01-08,2013,1,8
27,A00002122,68,Monthly Issuance,2013-01-08,2013,1,8
28,A00003592,54,Monthly Issuance,2013-01-08,2013,1,8
29,A00003487,41,Monthly Issuance,2013-01-08,2013,1,8
30,A00000435,38,Monthly Issuance,2013-01-08,2013,1,8
31,A00001730,1,Monthly Issuance,2013-01-09,2013,1,9
32,A00001493,41,Monthly Issuance,2013-01-09,2013,1,9
33,A00000374,38,Monthly Issuance,2013-01-09,2013,1,9
34,A00002925,1,Monthly Issuance,2013-01-10,2013,1,10
35,A00000866,9,Monthly Issuance,2013-01-10,2013,1,10
36,A00001628,60,Monthly Issuance,2013-01-10,2013,1,10
37,A00002379,44,Monthly Issuance,2013-01-10,2013,1,10
38,A00001979,26,Monthly Issuance,2013-01-11,2013,1,11
39,A00000346,37,Monthly Issuance,2013-01-11,2013,1,11
40,A00001338,74,Monthly Issuance,2013-01-11,2013,1,11
41,A00001909,14,Monthly Issuance,2013-01-12,2013,1,12
42,A00002099,3,Weekly Issuance,2013-01-12,2013,1,12
43,A00003760,44,Monthly Issuance,2013-01-13,2013,1,13
44,A00005270,44,Monthly Issuance,2013-01-13,2013,1,13
45,A00001699,53,Monthly Issuance,2013-01-14,2013,1,14
46,A00003909,1,Monthly Issuance,2013-01-14,2013,1,14
47,A00002926,50,Monthly Issuance,2013-01-14,2013,1,14
48,A00001731,33,Monthly Issuance,2013-01-14,2013,1,14
49,A00011265,15,Monthly Issuance,2013-01-14,2013,1,14
50,A00002519,4,Monthly Issuance,2013-01-15,2013,1,15
51,A00010364,55,Monthly Issuance,2013-01-17,2013,1,17
52,A00001481,15,Monthly Issuance,2013-01-17,2013,1,17
53,A00000401,32,Monthly Issuance,2013-01-18,2013,1,18
54,A00004034,1,Monthly Issuance,2013-01-18,2013,1,18
55,A00002330,54,Monthly Issuance,2013-01-19,2013,1,19
56,A00001806,40,Monthly Issuance,2013-01-19,2013,1,19
57,A00003834,54,Monthly Issuance,2013-01-19,2013,1,19
58,A00001222,66,Monthly Issuance,2013-01-20,2013,1,20
59,A00000212,27,Weekly Issuance,2013-01-20,2013,1,20
60,A00000456,49,Monthly Issuance,2013-01-21,2013,1,21
61,A00000459,47,Monthly Issuance,2013-01-21,2013,1,21
62,A00000772,45,Monthly Issuance,2013-01-21,2013,1,21
63,A00001019,52,Monthly Issuance,2013-01-21,2013,1,21
64,A00011295,74,Monthly Issuance,2013-01-21,2013,1,21
65,A00002970,60,Monthly Issuance,2013-01-22,2013,1,22
66,A00002676,73,Monthly Issuance,2013-01-22,2013,1,22
67,A00001536,41,Weekly Issuance,2013-01-22,2013,1,22
68,A00001179,74,Monthly Issuance,2013-01-23,2013,1,23
69,A00000280,25,Monthly Issuance,2013-01-23,2013,1,23
70,A00002425,41,Monthly Issuance,2013-01-23,2013,1,23
71,A00009307,68,Monthly Issuance,2013-01-24,2013,1,24
72,A00004055,23,Monthly Issuance,2013-01-24,2013,1,24
73,A00005065,66,Monthly Issuance,2013-01-24,2013,1,24
74,A00003704,75,Monthly Issuance,2013-01-24,2013,1,24
75,A00000477,1,Monthly Issuance,2013-01-25,2013,1,25
76,A00005891,54,Monthly Issuance,2013-01-25,2013,1,25
77,A00001000,77,Monthly Issuance,2013-01-25,2013,1,25
78,A00001750,1,Monthly Issuance,2013-01-26,2013,1,26
79,A00002023,68,Monthly Issuance,2013-01-26,2013,1,26
80,A00006473,12,Monthly Issuance,2013-01-26,2013,1,26
81,A00001649,46,Monthly Issuance,2013-01-26,2013,1,26
82,A00002670,13,Monthly Issuance,2013-01-27,2013,1,27
83,A00001127,27,Monthly Issuance,2013-01-27,2013,1,27
84,A00000163,30,Monthly Issuance,2013-01-27,2013,1,27
85,A00002566,48,Monthly Issuance,2013-01-27,2013,1,27
86,A00000009,70,Monthly Issuance,2013-01-27,2013,1,27
87,A00001144,59,Monthly Issuance,2013-01-28,2013,1,28
88,A00002902,32,Monthly Issuance,2013-01-28,2013,1,28
89,A00004296,63,Monthly Issuance,2013-01-28,2013,1,28
90,A00000443,64,Monthly Issuance,2013-01-28,2013,1,28
91,A00003693,61,Monthly Issuance,2013-01-29,2013,1,29
92,A00002070,72,Monthly Issuance,2013-01-29,2013,1,29
93,A00001843,12,Monthly Issuance,2013-01-30,2013,1,30
94,A00002714,1,Monthly Issuance,2013-01-30,2013,1,30
95,A00004078,40,Monthly Issuance,2013-01-30,2013,1,30
96,A00001675,36,Monthly Issuance,2013-02-01,2013,2,1
97,A00005868,44,Monthly Issuance,2013-02-02,2013,2,2
98,A00001805,1,Monthly Issuance,2013-02-02,2013,2,2
99,A00002434,17,Monthly Issuance,2013-02-02,2013,2,2
100,A00003007,16,Monthly Issuance,2013-02-02,2013,2,2
101,A00002574,68,Monthly Issuance,2013-02-02,2013,2,2
102,A00000862,64,Weekly Issuance,2013-02-02,2013,2,2
103,A00001132,1,Weekly Issuance,2013-02-03,2013,2,3
104,A00004484,54,Monthly Issuance,2013-02-03,2013,2,3
105,A00000943,1,Monthly Issuance,2013-02-03,2013,2,3
106,A00003514,7,Monthly Issuance,2013-02-03,2013,2,3
107,A00003983,67,Monthly Issuance,2013-02-04,2013,2,4
108,A00009265,1,Monthly Issuance,2013-02-04,2013,2,4
109,A00000465,32,Monthly Issuance,2013-02-04,2013,2,4
110,A00000982,54,Monthly Issuance,2013-02-05,2013,2,5
111,A00000411,70,Monthly Issuance,2013-02-05,2013,2,5
112,A00000890,14,Monthly Issuance,2013-02-05,2013,2,5
113,A00000627,63,Monthly Issuance,2013-02-05,2013,2,5
114,A00002429,61,Monthly Issuance,2013-02-06,2013,2,6
115,A00003960,64,Monthly Issuance,2013-02-06,2013,2,6
116,A00002256,48,Monthly Issuance,2013-02-06,2013,2,6
117,A00008051,1,Weekly Issuance,2013-02-07,2013,2,7
118,A00002647,73,Monthly Issuance,2013-02-08,2013,2,8
119,A00002241,6,Monthly Issuance,2013-02-08,2013,2,8
120,A00005622,70,Monthly Issuance,2013-02-08,2013,2,8
121,A00002884,1,Monthly Issuance,2013-02-08,2013,2,8
122,A00001830,10,Monthly Issuance,2013-02-08,2013,2,8
123,A00007753,74,Monthly Issuance,2013-02-08,2013,2,8
124,A00000244,24,Monthly Issuance,2013-02-08,2013,2,8
125,A00001477,1,Monthly Issuance,2013-02-08,2013,2,8
126,A00004240,50,Monthly Issuance,2013-02-08,2013,2,8
127,A00001006,6,Monthly Issuance,2013-02-08,2013,2,8
128,A00000830,74,Monthly Issuance,2013-02-08,2013,2,8
129,A00009188,45,Monthly Issuance,2013-02-08,2013,2,8
130,A00001965,57,Issuance After Transaction,2013-02-08,2013,2,8
131,A00001134,6,Monthly Issuance,2013-02-09,2013,2,9
132,A00001601,10,Monthly Issuance,2013-02-09,2013,2,9
133,A00002861,38,Monthly Issuance,2013-02-10,2013,2,10
