index,work_id,size_id,sale_price,regular_price
0,160228,24,85,85
1,160228,30,95,95
2,160236,24,85,85
3,160236,30,95,95
4,160244,24,85,85
5,160244,30,95,95
6,160252,24,85,85
7,160252,30,95,95
8,160260,24,75,75
9,160260,30,95,95
10,160268,24,85,85
11,160268,30,95,95
12,125752,30,95,95
13,125752,24,85,85
14,125752,3024,305,535
15,125752,3226,325,575
16,125752,3629,375,675
17,125752,4030,405,735
18,125752,4836,495,915
19,125752,6048,675,1275
20,125752,6854,805,1535
21,125818,30,95,95
22,125818,24,85,85
23,125818,3624,335,595
24,125818,4630,425,775
25,125818,5436,535,995
26,125818,6040,605,1135
27,125818,7248,765,1455
28,23448,20,75,75
29,23448,24,85,85
30,23448,30,95,95
31,23448,3024,305,535
32,23448,3226,325,575
33,23448,3629,375,675
34,23448,4030,405,735
35,23448,4836,495,915
36,23448,6048,675,1275
37,23448,6854,805,1535
38,125763,30,95,95
39,125763,24,85,85
40,125763,3024,305,535
41,125763,3226,325,575
42,125763,3629,375,675
43,125763,4030,405,735
44,125763,4836,495,915
45,125763,6048,675,1275
46,125763,6854,805,1535
47,125774,30,95,95
48,125774,24,85,85
49,125774,3024,305,535
50,125774,3226,325,575
51,125774,3629,375,675
52,125774,4030,405,735
53,125774,4836,495,915
54,125774,6048,675,1275
55,125774,6854,805,1535
56,125785,30,95,95
57,125785,24,85,85
58,125785,3024,305,535
59,125785,3226,325,575
60,125785,3629,375,675
61,125785,4030,405,735
62,125785,4836,495,915
63,125785,6048,675,1275
64,125785,6854,805,1535
65,125796,3629,395,675
66,125796,4030,425,735
67,125796,4836,515,915
68,125796,6048,695,1275
69,125796,6854,825,1535
70,125807,3024,305,535
71,125807,3226,325,575
72,125807,3629,375,675
73,125807,4030,405,735
74,125807,4836,495,915
75,125807,6048,675,1275
76,125807,6854,805,1535
77,24532,3624,315,565
78,24532,4630,405,745
79,24532,5436,515,965
80,24532,6040,585,1105
81,24532,7248,745,1425
82,124470,30,95,95
83,124470,24,85,85
84,124470,20,75,75
85,124470,3624,315,565
86,124470,4630,405,745
87,124470,5436,515,965
88,124470,6040,585,1105
89,124470,7248,745,1425
90,124479,3624,315,565
91,124479,4630,405,745
92,124479,5436,515,965
93,124479,6040,585,1105
94,124479,7248,745,1425
95,124488,3624,315,565
96,124488,4630,405,745
97,124488,5436,515,965
98,124488,6040,585,1105
99,124488,7248,745,1425
100,124497,3624,315,565
101,124497,4630,405,745
102,124497,5436,515,965
103,124497,6040,585,1105
104,124497,7248,745,1425
105,124506,3624,315,565
106,124506,4630,405,745
107,124506,5436,515,965
108,124506,6040,585,1105
109,124506,7248,745,1425
110,124515,30,95,95
111,124515,24,85,85
112,124515,3624,315,565
113,124515,4630,405,745
114,124515,5436,515,965
115,124515,6040,585,1105
116,124515,7248,745,1425
117,124524,30,95,95
118,124524,24,85,85
119,124524,3624,315,565
120,124524,4630,405,745
121,124524,5436,515,965
122,124524,6040,585,1105
123,124524,7248,745,1425
124,124533,30,95,95
125,124533,24,85,85
126,124533,3624,315,565
127,124533,4630,405,745
128,124533,5436,515,965
129,124533,6040,585,1105
130,124533,7248,745,1425
131,124542,3624,315,565
132,124542,4630,405,745
133,124542,5436,515,965
134,124542,6040,585,1105
135,124542,7248,745,1425
136,124551,3624,315,565
137,124551,4630,405,745
138,124551,5436,515,965
139,124551,6040,585,1105
140,124551,7248,745,1425
141,124560,3624,315,565
142,124560,4630,405,745
143,124560,5436,515,965
144,124560,6040,585,1105
145,124560,7248,745,1425
146,124569,3624,315,565
147,124569,4630,405,745
148,124569,5436,515,965
149,124569,6040,585,1105
150,124569,7248,745,1425
151,124578,3624,315,565
152,124578,4630,405,745
153,124578,5436,515,965
154,124578,6040,585,1105
155,124578,7248,745,1425
156,124587,3624,315,565
157,124587,4630,405,745
158,124587,5436,515,965
159,124587,6040,585,1105
160,124587,7248,745,1425
161,135881,30,95,95
162,135881,24,85,85
163,135881,2430,305,545
164,135881,2632,325,585
165,135881,2936,375,685
166,135881,3040,405,745
167,135881,3648,495,925
168,135881,4860,675,1285
169,135892,2430,305,545
170,135892,2632,325,585
171,135892,2936,375,685
172,135892,3040,405,745
173,135892,3648,495,925
174,135892,4860,675,1285
175,135892,5468,805,1545
176,135903,2430,305,545
177,135903,2632,325,585
178,135903,2936,375,685
179,135903,3040,405,745
180,135903,3648,495,925
181,135903,4860,675,1285
182,135903,5468,805,1545
183,135914,2430,305,545
184,135914,2632,325,585
185,135914,2936,375,685
186,135914,3040,405,745
187,135914,3648,495,925
188,135914,4860,675,1285
189,135914,5468,805,1545
190,135925,2430,305,545
191,135925,2632,325,585
192,135925,2936,375,685
193,135925,3040,405,745
194,135925,3648,495,925
195,135925,4860,675,1285
196,135925,5468,805,1545
197,135936,2430,305,545
198,135936,2632,325,585
199,135936,2936,375,685
200,135936,3040,405,745
201,135936,3648,495,925
202,135936,4860,675,1285
203,135936,5468,805,1545
204,135947,30,95,95
205,135947,24,85,85
206,135947,2430,305,545
207,135947,2632,325,585
208,135947,2936,375,685
209,135947,3040,405,745
210,135947,3648,495,925
211,135947,4860,675,1285
212,135947,5468,805,1545
213,135958,2430,305,545
214,135958,2632,325,585
215,135958,2936,375,685
216,135958,3040,405,745
217,135958,3648,495,925
218,135958,4860,675,1285
219,135958,5468,805,1545
220,31780,36,10,125
221,31780,30,10,95
222,31780,2436,345,605
223,31780,3046,435,785
224,31780,3654,545,1005
225,31780,4060,615,1145
226,31780,4872,775,1465
227,135969,2430,305,545
228,135969,2632,325,585
229,135969,2936,375,685
230,135969,3040,405,745
231,135969,3648,495,925
232,135969,4860,675,1285
233,135969,5468,805,1545
234,31778,2430,305,545
235,31778,2632,325,585
236,31778,2936,375,685
237,31778,3040,405,745
238,31778,3648,495,925
239,31778,4860,675,1285
240,31778,5468,805,1545
241,135980,2430,305,545
242,135980,2632,325,585
243,135980,2936,375,685
244,135980,3040,405,745
245,135980,3648,495,925
246,135980,4860,675,1285
247,135980,5468,805,1545
248,147731,1620,235,355
249,147731,2024,265,415
250,147731,2430,305,495
251,147731,2632,325,535
252,147731,2936,375,635
253,147731,3040,405,695
254,147731,3648,495,875
255,147731,4860,675,1235
256,147731,5468,805,1495
257,147742,1620,215,355
258,147742,2024,245,415
259,147742,2430,285,495
260,147742,2632,305,535
261,147742,2936,355,635
262,147742,3040,385,695
263,147742,3648,475,875
264,147742,4860,655,1235
265,147742,5468,785,1495
266,147753,1620,235,355
267,147753,2024,265,415
268,147753,2430,305,495
269,147753,2632,325,535
270,147753,2936,375,635
271,147753,3040,405,695
272,147753,3648,495,875
273,147753,4860,675,1235
274,147753,5468,805,1495
275,147764,1620,215,355
276,147764,2024,245,415
277,147764,2430,285,495
278,147764,2632,305,535
279,147764,2936,355,635
280,147764,3040,385,695
281,147764,3648,475,875
282,147764,4860,655,1235
283,147764,5468,785,1495
284,147815,3629,385,625
285,147815,4030,455,685
286,147815,4836,545,865
287,147815,6048,725,1225
288,147815,6854,855,1485
289,147797,1624,235,395
290,147797,2030,275,475
291,147797,2436,315,555
292,147797,3046,405,735
293,147797,3654,515,955
294,147797,4060,585,1095
295,147797,4872,745,1415
296,147806,2436,315,555
297,147806,3046,405,735
298,147806,3654,515,955
299,147806,4060,585,1095
300,147806,4872,745,1415
