index,work_id,subject
0,160228,Still-Life
1,160236,Still-Life
2,160244,Still-Life
3,160252,Still-Life
4,160260,Still-Life
5,160268,Still-Life
6,125752,Horses
7,23448,Horses
8,125763,Horses
9,24532,Marine Art/Maritime
10,124470,Marine Art/Maritime
11,124479,Marine Art/Maritime
12,124488,Marine Art/Maritime
13,124497,Marine Art/Maritime
14,124506,Marine Art/Maritime
15,124515,Marine Art/Maritime
16,124524,Marine Art/Maritime
17,124533,Marine Art/Maritime
18,124542,Marine Art/Maritime
19,124551,Marine Art/Maritime
20,124560,Marine Art/Maritime
21,124569,Marine Art/Maritime
22,124578,Marine Art/Maritime
23,124587,Marine Art/Maritime
24,135881,Portraits
25,135892,Portraits
26,135903,Portraits
27,135914,Portraits
28,135925,Portraits
29,135936,Portraits
30,135947,Portraits
31,135958,Portraits
32,135969,Portraits
33,31778,Portraits
34,135980,Portraits
35,147731,Musics
36,147731,Portraits
37,147742,Portraits
38,147753,Portraits
39,147764,Portraits
40,147815,Portraits
41,147797,Portraits
42,147806,Portraits
43,147775,Musics
44,147775,Portraits
45,147786,Dancers
46,147786,Portraits
47,24536,Portraits
48,24536,U.S. Presidents
49,122171,Dogs
50,122171,Portraits
51,122182,Portraits
52,122193,Portraits
53,122204,Portraits
54,122215,Portraits
55,122224,Portraits
56,194065,Portraits
57,194074,Portraits
58,194148,Portraits
59,194130,Portraits
60,194121,Portraits
61,194083,Portraits
62,194092,Portraits
63,194101,Portraits
64,194155,Portraits
65,194110,Portraits
66,194162,Portraits
67,194169,Portraits
68,194139,Portraits
69,160324,Portraits
70,160332,Portraits
71,24029,Rivers/Lakes
72,24035,Rivers/Lakes
73,24037,Rivers/Lakes
74,24041,Horses
75,24047,Horses
76,24064,Rivers/Lakes
77,24066,Rivers/Lakes
78,24068,Rivers/Lakes
79,204794,Rivers/Lakes
80,29914,Flowers
81,126089,Flowers
82,126219,Bridges
83,126219,Rivers/Lakes
84,126109,Flowers
85,126164,Flowers
86,126175,Spring
87,126294,Flowers
88,126241,Flowers
89,126241,Still-Life
90,29922,Still-Life
91,126131,Flowers
92,126153,Flowers
93,126274,Flowers
94,126142,Flowers
95,5093,Landscape Art
96,5093,Rivers/Lakes
97,5095,Landscape Art
98,5097,Horses
99,5097,Landscape Art
100,5099,Landscape Art
101,5101,Autumn/Fall
102,5101,Landscape Art
103,5103,Landscape Art
104,5105,Landscape Art
105,5105,Spring
106,5109,Landscape Art
107,5109,Rivers/Lakes
108,5111,Landscape Art
109,5115,Deers
110,5115,Landscape Art
111,5113,Deers
112,5113,Landscape Art
113,5117,Landscape Art
114,5117,Rivers/Lakes
115,5119,Landscape Art
116,5121,Landscape Art
117,5125,Landscape Art
118,5127,Landscape Art
119,5129,Landscape Art
120,5133,Landscape Art
121,5133,Rivers/Lakes
122,5135,Landscape Art
123,5135,Rivers/Lakes
124,5137,Landscape Art
125,5141,Landscape Art
126,5143,Landscape Art
127,5155,Landscape Art
128,5155,Rivers/Lakes
129,5161,Landscape Art
130,5163,Landscape Art
131,5221,Landscape Art
132,128800,Rivers/Lakes
133,126577,Winter
134,25863,Jesus Christ
135,25871,Christianity
136,25873,Christianity
137,25875,Portraits
138,25879,Portraits
139,25882,Portraits
140,25884,Portraits
141,25888,Portraits
142,25890,Portraits
143,25892,Portraits
144,25894,Portraits
145,25900,Portraits
146,25902,Portraits
147,25904,Portraits
148,25906,Christianity
149,25908,Christianity
150,25910,Christianity
151,25914,Christianity
152,23540,Nude
153,23542,Nude
154,23544,Nude
155,23552,Portraits
156,23554,Portraits
157,23556,Portraits
158,29962,Still-Life
159,28801,Landscape Art
160,28803,Landscape Art
161,28805,Landscape Art
162,28807,Landscape Art
163,28807,Winter
164,22580,Still-Life
165,22581,Still-Life
166,22587,Still-Life
167,22588,Flowers
168,22599,Nude
169,22600,Portraits
170,22601,Portraits
171,22602,Nude
172,22603,Still-Life
173,6719,Autumn/Fall
174,6719,Rivers/Lakes
175,6723,Autumn/Fall
176,208575,Rivers/Lakes
177,6725,Rivers/Lakes
178,6721,Rivers/Lakes
179,6727,Rivers/Lakes
180,6729,Rivers/Lakes
181,208553,Rivers/Lakes
182,6731,Rivers/Lakes
183,6737,Winter
184,6743,Rivers/Lakes
185,6747,Winter
186,6749,Bridges
187,6751,Gardens
188,6753,Horses
189,6755,Spring
190,6765,Seascapes
191,6771,Spring
192,23392,Landscape Art
193,23392,Seascapes
194,185403,Landscape Art
195,185411,Landscape Art
196,185659,Landscape Art
197,185419,Landscape Art
198,185427,Landscape Art
199,185435,Landscape Art
200,185451,Landscape Art
201,185443,Landscape Art
202,185459,Landscape Art
203,185362,Landscape Art
204,185362,Seascapes
205,185666,Landscape Art
206,185467,Landscape Art
207,23394,Landscape Art
208,23396,Landscape Art
209,23396,Rivers/Lakes
210,185673,Landscape Art
211,23398,Landscape Art
212,23398,Seascapes
213,185475,Landscape Art
214,185483,Landscape Art
215,23400,Landscape Art
216,23400,Rivers/Lakes
217,185491,Landscape Art
218,185499,Landscape Art
219,185389,Landscape Art
220,185389,Rivers/Lakes
221,185371,Landscape Art
222,185371,Seascapes
223,185507,Landscape Art
224,185515,Landscape Art
225,185680,Landscape Art
226,185687,Landscape Art
227,185694,Landscape Art
228,185555,Landscape Art
229,21102,Gardens
230,21102,Musics
231,21116,Musics
232,21120,Nude
233,21126,Gardens
234,21132,Dancers
235,21134,Dancers
236,21138,Musics
237,21144,Flowers
238,21142,Flowers
239,21146,Gardens
240,21156,Horses
241,21158,Churches/Temples/Mosques
242,21160,Portraits
243,21184,Portraits
244,21182,Portraits
245,21186,Nude
246,21188,Spring
247,21194,Spring
248,21206,Portraits
249,21214,Portraits
250,24389,Musics
251,24395,Musics
252,24397,Dogs
253,24427,Musics
