index,work_id,name,artist_id,style,museum_id
0,160228,Still Life with Flowers and a Watch,615,Baroque,43
1,160236,Still Life with Fruit and a Beaker on a Cock's Foot,615,Baroque,43
2,160244,Still Life with Fruit and a Goldfinch,615,Baroque,43
3,160252,Still Life with Fruit and Oysters,615,Baroque,43
4,160260,"Still Life with Fruit, Oysters, and a Porcelain Bowl",615,Baroque,43
5,160268,The Overturned Bouquet,615,Baroque,43
6,125752,Arabian Horses at Pasture,757,Baroque,
7,125818,Count Halm on His Basedow Estate,757,Baroque,
8,23448,Horses at the Porch,757,Baroque,34
9,125763,Napoleon Before the Burning City of Smolensk,757,Baroque,
10,125774,Peasants Resting in the Field,757,Baroque,
11,125785,Portrait Oberleutnant Theodor Von Klein,757,Baroque,
12,125796,The Rescue of Count Munnich,757,Baroque,
13,125807,The Stable Yard,757,Baroque,
14,24532,Jacob A. Stamler Departing Le Havre,563,,
15,124470,Kaleda off Le Havre,563,,
16,124479,R. Bell &amp; Co. Steamship Bothal in a Heavy Swell,563,,
17,124488,Steam Sailing Ship Finsbury in a Stormy Sea,563,,
18,124497,The American Ship Olive S Southard in French Waters,563,,
19,124506,The Atalanta Running Under Reduced Sail in a Gale,563,,
20,124515,The Auxiliary Steamer County of Sutherland at Sea Under Steam and Sail,563,,
21,124524,The Auxiliary Steamer Rishanglys Calling for a Pilot Off a Headland,563,,
22,124533,The Barquentine Herdis of the American Star Line,563,,
23,124542,The First French Steam Battlefleet in Formation at Sea,563,,
24,124551,The French Brig Dieudonne in Full Sail Off a Headland,563,,
25,124560,The Full-Rigger King Ceolric Running Under Full Sail,563,,
26,124569,The Richard Rylands Passing the Fastnet Rock,563,,
27,124578,The Ship Jacob A. Stamler,563,,
28,124587,The Three-Master Hahnemann in Full Sail Off a Headland,563,,
29,135881,Comedian Tournelle,621,Neo-Classicism,
30,135892,Madame de Genlis,621,Neo-Classicism,60
31,135903,Monsieur Meunier,621,Neo-Classicism,
32,135914,Pierre Roch Vigneron,621,Neo-Classicism,
33,135925,Portrait de Madame La Comtesse de Lameth,621,Neo-Classicism,
34,135936,Portrait of a Man,621,Neo-Classicism,
35,135947,Portrait of a Woman,621,Neo-Classicism,
36,135958,Portrait of Gaspard Gilbert Delamalle,621,Neo-Classicism,
37,31780,Portrait of Madame Labille-Guyard and Her Pupils,621,Neo-Classicism,35
38,135969,Portrait of the Duchesse D'Aiguillon,621,Neo-Classicism,
